host_timestamp_ns,host_timestamp_iso,elapsed_s,red,infrared,background
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1150274,1150274,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149700,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1150274,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149700,1150274,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1150274,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149700,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149700,1150274,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1149987,0
1783265542080490400,2026-07-05T22:32:22.080+07:00,0.452,1149987,1150274,0
1783265542128455900,2026-07-05T22:32:22.128+07:00,0.500,1149987,1149987,0
1783265542128455900,2026-07-05T22:32:22.128+07:00,0.500,1149987,1150274,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149700,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1150274,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149700,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1150274,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1150274,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1150274,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1150274,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1150274,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1149987,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1150274,0
1783265542130492300,2026-07-05T22:32:22.130+07:00,0.502,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1150274,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1150274,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1150274,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1150274,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149700,0
1783265542171319000,2026-07-05T22:32:22.171+07:00,0.543,1149987,1149987,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,1149987,1150274,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,1149987,1150274,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,1149987,1149987,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,1149987,1150274,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,1149987,1149987,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542211329700,2026-07-05T22:32:22.211+07:00,0.583,0,0,0
1783265542256445700,2026-07-05T22:32:22.256+07:00,0.628,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542258452500,2026-07-05T22:32:22.258+07:00,0.630,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,0,0,0
1783265542297501700,2026-07-05T22:32:22.297+07:00,0.669,331074,341487,0
