,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2
red_SD1_SD2,-0.046045422587915996,0.7728020221044416,-0.037050592708619115,-0.023392544505637068,-0.6477891622315123,1.498643819234783,1.492638856301816,-0.0004458361863091952,1.0597012071642216,-1.4625305106296,0.0023002906091917855,-0.4762167142497535,0.5248023912997742,-0.10566452350555404,-0.005918492048694354,-1.2020359504683316,-1.9120872273918574,-1.9012793631913487,0.03303845031212154,-1.3520498447089662,-1.410801219421626,-0.00021810034473251778,-0.19033465737036845,0.02189743117432285,0.008601345208200667,0.0031881761893561233,-0.43247162845545306,-0.7396573850571883,-0.7360362737330516,0.05455991550693697,-0.523016752728647,-0.49511022057716614,-0.00019574807460310124,-0.19527740364625656,-0.07180233803083694,0.02081070094159892,0.010443757484362033,0.13145364813729166,0.014818675829589298,0.015799208207992552,0.055231263130486846,0.010478386167307773,0.20700438305384303,-0.0002845230380098632,0.19069796315181428,0.01190607102685095,0.05893092054332837,-0.004097435534649938,0.3396866306634858,0.36497981233881593,0.36384232108219766,-0.0017430928767917227,0.2580797003009706,0.449797231798737,-0.00012289498144977003
infrared_Mean_NN,12515.725210350365,13202.324183199433,-102.02660713122116,-91.14936442646597,14266.78746382023,18963.495637679745,18842.935460860484,-1188.6576108404497,13409.216360404856,17793.0871230414,-0.4762167142497535,19730.644713382455,14252.108933580412,-219.91467632806595,-155.9579553417553,26695.595796742375,37365.705676703365,37118.42458906184,-1613.2160029916515,26421.543867817625,32778.2953348149,0.11546363998675149,-3232.3792362059294,-55.98238227494752,248.37041470380285,161.80324856192107,-2096.064420718628,-2486.4404285100463,-2470.946873703603,536.9063433112084,-1758.1788880158379,-2691.998770729648,0.3761533867180207,-5680.1795761590965,-855.5586951633682,377.7928172047998,275.153854381769,-4128.323931387376,-5045.963456002848,-5017.067506858424,931.3021033541793,-3568.034977359121,-5264.988234844365,0.6404678158676204,-4352.021824831601,-229.81234270081939,332.96052105245434,193.5241179805125,-3928.759050317307,-5020.178455227917,-4989.506939888882,680.2697030403536,-3549.802228458266,-4950.422934451941,-0.09596227153933301
infrared_Median_NN,8576.982316084774,16705.547793172704,-380.31335064909615,-355.2988339920284,1653.6037150491577,2701.463072948896,2669.6479779117626,-893.5959110635694,1910.2228580072149,1917.4390553793617,0.5248023912997742,14252.108933580412,27685.465864093785,-1024.819899384949,-662.5271220439396,1337.915534079739,1455.0747269671758,1401.3943733575065,-1250.7783704380952,1028.8932065716538,1750.5899806550713,-0.23236121617656308,-3011.408643264613,-97.68120484392489,240.47213575552783,126.57111920334998,-3360.348661722187,-4709.135138868558,-4685.200264450706,482.09602569180726,-3329.8613902178126,-4125.904602152596,-0.4823638335136922,-7412.456101613274,-1220.0300708540576,457.3458592009819,336.0933275095097,-6826.7072963659275,-8855.05235861741,-8810.473812880964,1265.8327939705985,-6261.467570540303,-8572.321483766658,0.21791606174817524,-3333.4555058634614,-206.17873743272713,233.10404982944183,94.18542957665026,-6426.806909067588,-8789.779863780916,-8750.7910851671,473.28711067163215,-6215.312946816451,-7937.76202182148,-1.1663099349341581
infrared_Heart_Rate,56.79766901054211,-282.25065240724473,148.3726245664753,15.868383188627048,552.8723647516352,647.3292443443967,644.5305867112648,1.0704961629258414,457.7308983362864,713.045939866227,-0.10566452350555404,-219.91467632806595,-1024.819899384949,1861.2648727422957,42.841436451375465,823.6754795980245,1136.672490067354,1131.6132449541951,23.9951312327259,803.7488257148245,1018.1265251907381,-0.015717740666673932,50.69236351827912,31.823395965458,-12.946612149839014,-2.7948674571281034,1.301537224430186,101.45709368050416,100.55291421658046,-21.780469855563144,71.74099894096322,-25.80320585827094,0.13248158996047943,194.14717987085663,72.78945537691753,1.2946492701950667,-9.245447620626388,140.73347935202167,269.3458573064269,267.745196002551,-45.32977617720081,190.45628218587868,153.42722376465176,0.09417522344568134,138.28480932183552,42.635743607316726,3.9849232168468918,-4.0177843203416455,-9.415264037597044,81.32884561243323,77.69856635906137,-21.60477553854244,57.50817823862533,-34.30655150646434,0.08474692304218795
infrared_Mean_HR,86.58534537030731,-219.57381836297836,15.520288946278054,15.458270915869397,508.22096789488097,701.913644933542,698.3645465830476,-5.1730561231302445,496.32789813987404,627.2057175590211,-0.005918492048694354,-155.9579553417553,-662.5271220439396,42.841436451375465,39.6395324067981,788.4268248492644,1125.2630206289157,1120.5055987686558,14.513660721594663,795.6811125051639,962.5541865230844,0.01866527476219128,-54.45557150301953,0.8968332316224,-5.911778053500352,2.440964021830417,-14.559785644449256,4.328644594701622,4.5797752561080065,8.870859372318018,3.060813946260025,-24.40423865685128,0.03355192040187297,46.927592221309894,12.85108791220058,-6.4428519775969235,-2.801239099863304,14.976092374789651,19.85109585780197,19.832000404786537,-10.227742948463149,14.036844495035993,18.827132444990287,-0.004476347742240689,-84.26097795081854,-2.8992504950220295,4.122772081920125,3.6722645977506496,-74.56008099172475,-52.230674563449625,-51.12027389981316,11.648183786689758,-36.93266416976299,-104.83770222681021,0.04785263821331456
infrared_SDNN,21211.599639484844,13094.231703777614,336.25960618911955,251.89704115744462,34909.24706655263,46788.80598141032,46511.985386566426,-1904.887741127833,33084.68199307691,43449.54345456826,-1.2020359504683316,26695.595796742375,1337.915534079739,823.6754795980245,788.4268248492644,66833.78467969187,94223.91117059322,93680.48451189992,-2119.50950883301,66626.36653864538,81895.26962788991,0.6855786345737754,-5370.558618658476,-21.921037553560648,212.59024719078002,277.43033357582163,-2213.7686836772673,-2026.3610394831273,-2005.0312834574759,908.963048472296,-1432.8536321507427,-3002.0296793089487,1.2680360940820137,-6105.75240113357,-796.286412865731,327.3535594554483,299.6129355588462,-4101.1357508903775,-4785.625012097892,-4753.663964910551,952.5987750008015,-3383.9478982703736,-5286.3612361890155,0.9199967232808981,-7627.945630069414,-360.4786413357084,591.1466430497263,375.3418911690425,-4723.581415946152,-4861.384803175166,-4811.035900810059,1224.8760314121512,-3437.5181602823877,-6253.579638820149,1.3081892429725648
infrared_SDSD,30493.94498968112,18372.975683795386,409.02136413672474,330.9584686830634,49877.631473601985,66641.56402331345,66246.3633768083,-2742.4635989833178,47122.701829762416,62141.207953738565,-1.9120872273918574,37365.705676703365,1455.0747269671758,1136.672490067354,1125.2630206289157,94223.91117059322,136464.71296740204,135681.30263375386,-2967.906706550201,96495.12393192579,114435.77556548576,3.910809772873669,-7071.429763860875,-8.86248203666977,378.0631391829834,379.1415235200986,-1824.4854211744607,-929.7600003492098,-907.048562377926,1175.7219823444964,-657.4396011229321,-2668.657646791757,2.027732381332681,-8037.835201810557,-1076.3655774534461,447.8216883036975,401.0128634850073,-5007.726048976227,-5767.04655684376,-5726.565946090763,1226.6087145446381,-4077.9177277627527,-6473.664258841432,1.2368201341200287,-10535.37550174885,-506.6770024000627,840.36503580241,525.1079325464393,-6141.198898253192,-6317.1048506574,-6249.366360570799,1673.3543921460239,-4466.867677366281,-8132.424361528551,1.735323101890924
infrared_RMSSD,30307.265061375398,18242.726847886453,407.5881173304518,329.592348164855,49590.959374783,66258.98893228864,65866.08418052518,-2725.5340421792393,46852.18038858569,61783.97632797129,-1.9012793631913487,37118.42458906184,1401.3943733575065,1131.6132449541951,1120.5055987686558,93680.48451189992,135681.30263375386,134902.55911496707,-2948.2743743634487,95941.16917255154,113774.76403444425,3.8919312135635424,-7027.371993303511,-8.532502859557388,375.4245020618658,376.82857129207196,-1808.6875995269816,-916.2511714438999,-893.7029078230096,1168.4802542311231,-647.8874165981011,-2646.9954217013046,2.017701140539911,-7980.91725382602,-1068.352616934964,444.3686334861918,398.21250518050834,-4970.033379678487,-5723.631314151477,-5683.438076801252,1217.747651942448,-4047.218515248179,-6424.918301540266,1.2276915654429446,-10470.423455701299,-503.62348850742063,835.0875164683789,521.9880442363593,-6096.275985301149,-6267.59127176968,-6200.299740698156,1663.1735225664575,-4431.856289973961,-8073.790158276047,1.726819945160547
infrared_NN_Count,-1044.4314983956315,-1134.8812838724834,8.632378304212079,8.982068163122568,-1154.0354778115807,-1538.9909420640543,-1529.1415682341421,99.96713240186293,-1088.2309313181654,-1437.8377969209917,0.03303845031212154,-1613.2160029916515,-1250.7783704380952,23.9951312327259,14.513660721594663,-2119.50950883301,-2967.906706550201,-2948.2743743634487,134.76391977948865,-2098.6269581306797,-2602.076904650297,-0.010045649520444405,266.12395298846883,4.691828994506026,-20.120220403114686,-13.544512276923449,163.35983968989703,193.6502671211326,192.43840770335478,-44.43723980610209,136.93141705993915,209.86826112315052,-0.030435873407835292,487.2300667693878,74.6149401110919,-31.678624735396394,-23.72054697489178,350.55144084524426,435.2367301174181,432.771343526771,-79.95956658112345,307.7588432874855,445.316957619892,-0.047427941608883334,356.00402708297065,18.697413631707818,-26.685788375466124,-16.04117221994786,302.3713004783323,395.00972759107833,392.58623291283635,-55.8693470202452,279.3140570143023,378.85642301980675,0.014446860940198538
infrared_SD1,21562.475287333058,12991.655696587268,289.2217802312499,234.0229774969099,35268.81144450753,47122.70182976241,46843.25277268931,-1939.2146079983686,33320.78201165673,43940.469535211945,-1.3520498447089662,26421.543867817625,1028.8932065716538,803.7488257148245,795.6811125051639,66626.36653864538,96495.12393192579,95941.16917255154,-2098.6269581306797,68232.35648370102,80918.31291269683,2.765360110329593,-5000.25593871041,-6.2667211462731665,267.33100943296097,268.09354231046063,-1290.1060134884574,-657.4396011229347,-641.3801893229366,831.360986505884,-464.8800001746045,-1887.0259187117838,1.4338233172718842,-5683.60777726019,-761.1053988531058,316.657752561953,283.558915113284,-3540.9970475556074,-4077.917727762752,-4049.2936133927315,867.343339917028,-2883.523278421879,-4577.57189655176,0.8745639039443279,-7449.635459633236,-358.2747442683568,594.2278154879597,371.3073799584354,-4342.483385570188,-4466.867677366277,-4418.969331678705,1183.2402380147469,-3158.552425328697,-5750.492413523518,1.2270587328967462
infrared_SD2,25825.555954312204,16066.312458180135,432.39468856049575,315.5829243585935,42596.1450140371,57152.83680523407,56814.953409576076,-2317.8882929863053,40413.15846902913,52999.0529674974,-1.410801219421626,32778.2953348149,1750.5899806550713,1018.1265251907381,962.5541865230844,81895.26962788991,114435.77556548576,113774.76403444425,-2602.076904650297,80918.31291269683,100639.78394442168,0.008760712703107366,-6713.553144362776,-32.987044322508616,238.2188357104698,342.96989250187943,-3068.8269258335813,-3012.6014749709047,-2984.4642777961653,1142.1315012016328,-2130.230931964523,-4108.062449698822,1.4891551582016167,-7631.074960235538,-987.3920961060762,403.8922692671083,372.67311051417585,-5232.608509821892,-6125.675124249646,-6085.302088877762,1198.0456759357096,-4331.506419702668,-6740.01477989995,1.1453523070883955,-9398.190669427004,-442.0295687969915,722.3133566697868,460.7700508019031,-5916.065736588959,-6083.218384550083,-6020.78327972167,1514.519289649946,-4301.48497115404,-7833.399578150375,1.6377506054685524
infrared_SD1_SD2,0.7641342251101554,0.16566213575824557,-0.0915358252047737,-0.023674179968137903,0.906727511711389,1.0272349028914627,1.0204653354229507,-0.07349584902177884,0.7263647657060581,1.1835433465469187,-0.00021810034473251778,0.11546363998675149,-0.23236121617656308,-0.015717740666673932,0.01866527476219128,0.6855786345737754,3.910809772873669,3.8919312135635424,-0.010045649520444405,2.765360110329593,0.008760712703107366,0.0025943525070524125,0.3117024974316342,0.0211688531705956,0.07439228197052034,-0.0037973473317855174,1.0470450092352013,1.5629332489447503,1.557137460979471,-0.06418473547474773,1.1051606988707556,1.261231808901373,0.0002013114895244216,0.3607299681413342,0.0344093439835245,0.019399610256127357,-0.012111135276630706,0.5303257370747204,0.6475784078027648,0.6444933928683874,-0.07229121501946639,0.4579070835073227,0.6773631659354676,-5.9895253772090745e-05,0.002086997840956867,-0.009548234387802477,0.025135973159497196,0.00562628798504592,0.3495344891154732,0.3610379540907131,0.3590639871645636,-0.010591473981078197,0.25529238560326045,0.4609721440699198,-5.4694473967452995e-05
ppg0_Mean_NN,-3507.315098337857,-3603.4614378162455,19.574631667138895,-21.995881891158838,-4996.384986973568,-7042.207122040027,-7001.2273217988795,324.6108350424005,-4979.592410514701,-6123.46020832417,-0.19033465737036845,-3232.3792362059294,-3011.408643264613,50.69236351827912,-54.45557150301953,-5370.558618658476,-7071.429763860875,-7027.371993303511,266.12395298846883,-5000.25593871041,-6713.553144362776,0.3117024974316342,10041.621868423825,89.85951647951315,-229.1390288832509,-259.52889310818705,17263.59161338223,22775.488425067266,22651.67824521436,-1425.8421380483235,16104.702310200782,21573.408081279154,-0.019611819310652527,8876.68059099936,850.7907427985007,-246.6090454998022,-252.34940910972742,14420.882257793808,17954.07783146709,17853.72145702017,-1260.1369554078717,12695.450184581443,18292.561477731317,-0.4120147974329935,13509.649021226802,372.9351432305901,-245.15623632965068,-205.80468919672808,33735.80121235286,40603.54434701885,40289.260253670305,-1400.5591239209948,28711.041547985737,43085.018556295654,-0.29284224871247927
ppg0_Median_NN,-25.674183529579143,-54.01189049416401,-9.724952324923752,0.17271256354276246,6.431596244070037,30.28958401791509,30.292969918261885,1.9804455405202297,21.417970258387427,2.1448328970212356,0.02189743117432285,-55.98238227494752,-97.68120484392489,31.823395965458,0.8968332316224,-21.921037553560648,-8.86248203666977,-8.532502859557388,4.691828994506026,-6.2667211462731665,-32.987044322508616,0.0211688531705956,89.85951647951315,58.82146666115214,-12.329538519560394,-5.019990280841669,33.029882125232724,74.84979761726437,74.44479940400781,-14.679038956706364,52.92679946560832,32.83597532665552,0.03708078413654926,60.33832357685937,40.19964650811022,-12.380377828567966,-3.917650849804219,-12.748534559776555,-1.3547632281396218,-1.4434751493042068,-10.200692121725817,-0.9579622655197373,-20.110923833155187,0.018126460466269007,26.562767838338196,12.53289950643013,-7.540304941855005,-2.3367198477056883,-51.26064775142124,-69.26339013632311,-68.91511480390571,-6.36149971297841,-48.97661285336347,-63.58058235315397,-0.012969555004344656
ppg0_Heart_Rate,223.02113308667532,220.98310410446263,18.588098735860697,-4.066689199244591,189.737601462722,266.44036236581604,264.49733354332994,-20.601772006336056,188.4017870106695,233.6266754136727,0.008601345208200667,248.37041470380285,240.47213575552783,-12.946612149839014,-5.911778053500352,212.59024719078002,378.0631391829834,375.4245020618658,-20.120220403114686,267.33100943296097,238.2188357104698,0.07439228197052034,-229.1390288832509,-12.329538519560394,484.7255525161674,9.125462130265758,-279.0627064087245,-320.1521004897641,-318.5239077177092,44.20212367227698,-226.3817212674292,-361.83203550403294,0.056804615253098545,-157.5955854310217,4.474451321082743,183.10442208487095,6.8785818299136,-160.3143763814089,-188.4427667375802,-187.29316644721692,33.926200288074746,-133.24915822569773,-206.162205138929,0.01812829502685407,-186.8101786957541,11.696298689420253,186.87929237022482,6.820850842173631,-322.80747787215955,-373.78672521340104,-371.93898022763153,37.69553526204425,-264.30712811590837,-414.9787494496134,-0.0017501676841972444
ppg0_Mean_HR,157.08515067088942,139.71983484136047,2.172028649860078,0.34908321333525927,213.5829573676623,293.67640726817126,291.9300985077587,-14.792842436534867,207.6605790538262,263.76292392098475,0.0031881761893561233,161.80324856192107,126.57111920334998,-2.7948674571281034,2.440964021830417,277.43033357582163,379.1415235200986,376.82857129207196,-13.544512276923449,268.09354231046063,342.96989250187943,-0.0037973473317855174,-259.52889310818705,-5.019990280841669,9.125462130265758,10.885476377743636,-256.1016171173646,-343.74885882637193,-341.79452078893803,42.88868982977188,-243.06714910126485,-318.54145730348665,-0.0031516066157176296,-262.1335740951418,-38.77462673507061,9.753136584346219,11.079704622446176,-247.64457432989175,-326.07972163268107,-324.1920981857243,42.16094800503218,-230.57318237389052,-309.57935964789544,-0.008976201284216643,-291.8700689689083,-14.573243971727528,8.785967096649573,8.960955828470295,-479.4610360792605,-587.4379963122053,-583.0144003111534,38.44064539003176,-415.3813907189986,-609.64299676602,-0.008608580213553367
