host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,ambient,label
1783335103620430000,111627,72216,188445,141316,176310,1343,truth
1783335103620430000,111606,72204,188445,141316,176310,1343,truth
1783335103620430000,111627,72228,188445,141316,176310,1343,truth
1783335103620430000,111563,72228,188445,141316,176310,1343,truth
1783335103620430000,111584,72204,188445,141316,176310,1343,truth
1783335103662840000,111584,72180,188478,141322,176444,1348,truth
1783335103662840000,111627,72216,188478,141322,176444,1348,truth
1783335103662840000,111606,72192,188478,141322,176444,1348,truth
1783335103662840000,111584,72216,188478,141322,176444,1348,truth
1783335103662840000,111563,72216,188478,141322,176444,1348,truth
1783335103662840000,111584,72216,188478,141322,176444,1348,truth
1783335103662840000,111584,72216,188478,141322,176444,1348,truth
1783335103662840000,111606,72168,188478,141322,176444,1348,truth
1783335103662840000,111584,72192,188478,141322,176444,1348,truth
1783335103662840000,111563,72180,188478,141322,176444,1348,truth
1783335103662840000,111584,72192,188478,141322,176444,1348,truth
1783335103662840000,111541,72180,188478,141322,176444,1348,truth
1783335103662840000,111606,72192,188478,141322,176444,1348,truth
1783335103662840000,111563,72204,188478,141322,176444,1348,truth
1783335103662840000,111584,72180,188478,141322,176444,1348,truth
1783335103662840000,111627,72204,188478,141322,176444,1348,truth
1783335103662840000,111584,72180,188478,141322,176444,1348,truth
1783335103705370000,111563,72180,188577,141448,176516,1294,truth
1783335103705370000,111563,72168,188577,141448,176516,1294,truth
1783335103705370000,111563,72180,188577,141448,176516,1294,truth
1783335103705370000,111584,72180,188577,141448,176516,1294,truth
1783335103705370000,111541,72168,188577,141448,176516,1294,truth
1783335103705370000,111541,72168,188577,141448,176516,1294,truth
1783335103705370000,111563,72204,188577,141448,176516,1294,truth
1783335103705370000,111584,72192,188577,141448,176516,1294,truth
1783335103705370000,111563,72204,188577,141448,176516,1294,truth
1783335103705370000,111606,72192,188577,141448,176516,1294,truth
1783335103705370000,111563,72216,188577,141448,176516,1294,truth
1783335103705370000,111606,72180,188577,141448,176516,1294,truth
1783335103705370000,111563,72168,188577,141448,176516,1294,truth
1783335103705370000,111584,72192,188577,141448,176516,1294,truth
1783335103705370000,111584,72216,188577,141448,176516,1294,truth
1783335103705370000,111584,72192,188577,141448,176516,1294,truth
1783335103705370000,111584,72204,188577,141448,176516,1294,truth
