,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2
infrared_SDSD,138649.42514668766,60286.35953934314,-2087.269454920111,-1403.949173902579,167404.3581442184,240262.3363627148,238089.4695147415,-9615.578780815193,169891.127305799,203754.27651530632,4.388350132978578,323764.18593648943,122335.63223875717,-1398.8917175574763,487.72855084113127,484631.1497615082,722979.2359553538,689595.8196621565,-11400.114235436116,510865.9656393584,581021.4815908268,5.38822773535835,20273.701070439954,7286.06165617806,-810.2946547153708,-1072.9161896617811,8482.589032128071,12763.570638953433,12635.641665371524,-5334.88406417196,9025.20735095751,10196.877257211052,0.5810990899600156,11391.050969816504,12001.48271815102,-484.6362481756772,-652.8766566534298,-2075.047868211699,-3150.3636387532524,-3281.2402967739204,-3633.9079288413313,-2227.6434921660507,-2470.444711219726,-1.1917956937833196,12801.042943183907,13090.93167670465,-284.85176345890136,-748.2354448020524,-2943.844448706061,-4348.640789480569,-4426.03339741604,-3859.2312517762293,-3074.9533911858293,-3523.4374266870077,-2.073052039924649
infrared_RMSSD,135163.17217521011,57471.30678298088,-2076.630000884997,-1346.3256230909312,165376.862840928,237371.2020186403,235050.96317226655,-9782.113979475485,167846.78660578222,201236.68742026793,4.65897047131819,317927.6436902022,122039.86493375442,-1496.961863204951,456.92652144272,490481.27867307176,689595.8196621565,693828.8018971685,-11535.876740077942,490825.4716732667,566260.0424162967,4.631653471896419,19989.225845059107,6327.847126597181,-790.6517739572294,-1051.9947610216548,9383.206470019215,13908.621244833843,13663.846622365345,-5694.433003163333,9834.880399177304,11334.797694057434,0.5578768980294884,10145.150284113513,10962.698406397645,-446.46978252430955,-588.985014542462,-2193.204076719861,-3147.6855923104913,-3324.8439893049895,-3982.643873494142,-2225.749827366038,-2664.0047675736437,-0.9900313647433792,11526.086988513725,11914.857921295867,-198.31845803289002,-691.906657934079,-3392.859130155797,-4711.746281669723,-4824.961445993327,-4203.704561031295,-3331.707746998849,-4153.19247848444,-1.4864457392286563
infrared_NN_Count,-5802.785464419795,-3907.4821453712543,138.77110860775716,135.14330161639842,-4032.702081780782,-6172.623892355778,-6095.724924966267,1621.6917238631424,-4364.704211998857,-4796.111435795856,-0.37738924723555056,-9231.142090759895,-5156.92066063056,159.18692248891983,142.28546695815422,-7942.3916875930445,-11400.114235436116,-11535.876740077942,1563.3781966170332,-8101.892726515328,-9263.29708425077,-0.37750930579838293,-486.49015847296664,-126.7900979599071,18.262290145218707,32.27704401351814,89.9060286518637,-23.684716311250583,-15.338438822947097,2079.9150128093115,-16.747623514167643,150.9780452645684,-0.20127319082768286,-466.1617043036299,-377.74622648693816,31.173307955575204,31.454392786929805,164.10237100092252,171.37607237287727,176.87140933207877,2069.2048896743795,121.1811829079782,217.182107530473,-0.05955571402394304,-406.27694562293084,-459.35605341541697,24.88630274855816,32.40188278589258,426.1564115258444,511.6575217276238,515.3473447185257,2051.3191325023454,361.7965032586988,545.9615795426168,-0.05727814041864261
infrared_SD1,98080.90191122648,42597.33912214449,-1481.4119891079952,-991.9201115801337,118518.60932967205,170121.14658294318,168559.8021323194,-6839.891814266946,120293.81637202925,144242.35737170928,3.1434823996291956,230623.37151964134,88202.08866935958,-1007.6283162353618,334.54284369894793,344948.36815140134,510865.9656393584,490825.4716732667,-8101.892726515328,361236.7885810031,410844.22964792745,3.810052370249304,14409.661911894354,5158.0115138428455,-575.385055487772,-761.3322610627913,6094.63689547289,9149.457009490887,9046.1879116459,-3832.6276375610446,6469.643095585942,7331.791879449092,0.40823717153849254,8017.740208286041,8485.315369201495,-343.0199061810249,-459.46775128554583,-1487.8534362043988,-2239.9971473465434,-2338.2018108302536,-2627.282441654833,-1583.917172727251,-1776.9204631084062,-0.8245192723542094,9021.078150548421,9255.611523490732,-196.80051435334056,-528.0362549381788,-2141.936559529598,-3134.59699264467,-3193.732621854161,-2786.472761371513,-2216.4947897857587,-2572.912769288957,-1.4115590714186992
infrared_SD2,101639.71037087991,36935.43546431791,-1217.7171809490683,-445.27138470447045,145946.8366737694,205155.9710568022,203489.78911487607,-7649.609507191733,145067.17833517553,178882.36309343035,1.6191568067602247,219567.90896526095,48562.07238338075,-626.5799596778918,1662.4445638390014,425500.24703622086,581021.4815908268,566260.0424162967,-9263.29708425077,410844.22964792745,522538.3246639861,-6.590552932986098,14805.148748582667,3454.3864560390925,-648.7400029067766,-790.0883097142548,7637.68900439771,11065.697033975832,10945.203729307805,-4373.635433382347,7824.629411280363,9298.843378771433,-0.029513472092827685,3903.740858150658,6231.348645569557,-111.56372338984612,-267.632631998183,-4035.717380150969,-5862.415167213902,-5954.430311474018,-2366.3350345457025,-4145.353518867813,-4888.60768791155,-1.1237451383690737,5846.305963733876,6764.915943823413,5.76184616403582,-386.1913246092168,-3570.68473017872,-5088.339339604281,-5146.463092596129,-2732.2277345369175,-3597.9992520121323,-4335.540753961037,-1.681107782507565
infrared_SD1_SD2,7.213109366342478,5.555691010496372,-0.2757960486129586,-0.29482834349449283,0.8693235427420712,2.561225527986959,2.496364545263356,-0.37438983410775,1.8110599389876767,0.678701681151056,0.000782121651198085,11.280540687741066,10.28193550781813,-0.24492114801875325,-0.4286056141837723,-3.081226671546083,5.38822773535835,4.631653471896419,-0.37750930579838293,3.810052370249304,-6.590552932986098,0.004194327422602554,0.679034584072925,0.25282851281968444,-0.024108965740753257,-0.04149462429745064,0.09881345950230834,0.3591680969999606,0.3553016472131378,-0.10231747104344947,0.2539701969745408,0.061909702596545886,0.000300853172710687,1.7227350185480914,0.8423944178057704,-0.11035528426035449,-0.09287078444975638,0.7925537073873549,1.1500063606078237,1.1415206252948775,-0.27938364613768935,0.8131772959934572,0.962758812444627,7.718582402021003e-05,1.3844573832413276,0.9262491286159099,-0.07910317450589176,-0.07877627969191793,0.2943575334283408,0.43232114936432886,0.4282500505343098,-0.21289848556852023,0.3056972163658773,0.35629544005432245,4.095749788409124e-05
ppg0_Mean_NN,11445.860373877302,6605.131565473268,-232.77350330566637,-197.9107317652175,7046.166328327359,10855.703893257025,10679.420447008288,-472.79642476734364,7676.14183747521,8357.587725144418,0.522472694223745,23854.121064343693,15515.921347125488,-177.01845796906576,-160.79692098340595,13204.909717464758,20273.701070439954,19989.225845059107,-486.49015847296664,14409.661911894354,14805.148748582667,0.679034584072925,6626.2859293044085,935.223981018312,-252.0611191294816,-258.3317104209451,8138.080724604654,10881.037468633825,10809.111960663584,-1230.833107513804,7694.0553804158535,10137.1454123704,-0.3584889691151136,6013.4068235269,1730.7457572739518,-245.7950741518106,-245.85887106103488,6651.496266002658,8607.319082242297,8555.188532840846,-1123.0407220280504,6086.293690889883,8362.663906223488,-0.578306768017744,7082.692131783994,1861.973361243609,-220.57323039869217,-249.1916427004913,9876.60110138643,12346.750505896573,12257.437265604478,-1182.5882409620447,8730.471008337932,12516.162596939326,-0.6670649202637473
ppg0_Median_NN,5389.695260663643,5039.820900382979,-51.71541556424723,-52.48131258333304,1874.2218719225232,2950.3599809221905,2842.803207867046,-130.31075717024092,2086.219549451496,2205.2950703497054,0.1259560591846549,18411.10964245884,17096.111809151036,-49.00576901126417,-55.39450684730831,3564.4837084608616,7286.06165617806,6327.847126597181,-126.7900979599071,5158.0115138428455,3454.3864560390925,0.25282851281968444,935.223981018312,994.2120730060016,-38.0743095485103,-42.288757119918024,49.90728718341217,121.80185699990247,102.36330907995601,-159.57422146608633,86.12691904574557,45.81787312539547,0.09480148688660135,856.0886670320009,971.0573238497549,-38.48923117055577,-41.37134357692365,5.461097529756759,18.749531473713812,8.639128970805697,-161.77786663765016,13.25792084913333,3.4077486252875477,0.008288870050670964,889.0779839973159,1075.955064659955,-47.47624557581403,-42.229745318200685,-64.86139158386062,-95.74324705613085,-109.57051371822205,-159.6705900112882,-67.70069924620638,-78.7871868578533,-0.014548524668345138
ppg0_Heart_Rate,-527.5129703877451,-339.8784337800227,34.64094890046292,8.943828512162145,-342.82209082389386,-533.536714128695,-527.7936518470648,18.402052648253274,-377.2674285723869,-405.25263125514584,-0.02774648573223997,-1055.8383896365833,-737.1496167023571,16.821925280230428,5.903128853258302,-555.222753201379,-810.2946547153708,-790.6517739572294,18.262290145218707,-575.385055487772,-648.7400029067766,-0.024108965740753257,-252.0611191294816,-38.0743095485103,452.06503586339636,11.733117237764656,-237.7939045725019,-242.30249538813354,-241.3024334490196,37.31904674329185,-171.3337375873705,-316.9639338137084,0.1264593766502897,-244.54436436851367,-42.72215725247078,172.24018914103388,10.982181395512455,-247.92099628566314,-280.4339940778313,-279.14406564562603,35.757907149097974,-198.2967788876617,-322.75085626429046,0.09871534032165775,-251.22027036430944,-57.12815489035854,168.50258656894263,10.880575325690764,-276.80483449506363,-319.6726769172592,-318.14832604276927,35.783811286800365,-226.04271760825057,-358.3670022011056,0.08997183854433598
ppg0_Mean_HR,-672.464761117741,-426.84653923945876,16.429890175973952,14.298196935703945,-398.0296328062931,-622.1316575195472,-613.1364916908982,32.27287850921311,-439.91351382289787,-469.720966278577,-0.03807748471110451,-1206.5326943319637,-757.4271804527168,14.111108513421328,12.919913359621942,-693.8765840990927,-1072.9161896617811,-1051.9947610216548,32.27704401351814,-761.3322610627913,-790.0883097142548,-0.04149462429745064,-258.3317104209451,-42.288757119918024,11.733117237764656,12.370285829861006,-202.601266873448,-277.61706012067623,-275.36308598709337,50.787413121625754,-196.30490578440305,-250.61217693699524,0.004536050405932018,-248.41936926702547,-86.77345554442293,11.8106520726671,11.949943333812502,-182.25382117096646,-240.98052410016163,-239.28578269138384,48.466174993886554,-170.39896272511203,-227.88884376500977,0.015498998450930185,-263.116395995086,-93.50836843479978,10.87857838381687,12.040478538414197,-217.57842986018676,-279.5851974464219,-277.3336453963271,48.856726967313975,-197.69658903374568,-273.9070357611947,0.016389400210354326
ppg0_SDNN,-385.8205387039892,-4156.761451377106,75.48296059107051,106.42645522159306,2486.43894126322,3166.8477826383123,3135.672701113621,130.8756712458081,2239.2995420891175,3130.5373051761762,-0.2752806661852266,664.3202420108463,-3980.7196444129427,129.27100750955591,162.00085066265203,6777.23905400286,8482.589032128071,9383.206470019215,89.9060286518637,6094.63689547289,7637.68900439771,0.09881345950230834,8138.080724604654,49.90728718341217,-237.7939045725019,-202.601266873448,17753.127768273956,23402.179427010185,23296.464626400935,-1436.0855555958747,16547.839767383055,22205.30481823885,-1.1199799674161641,6674.025341599251,505.4602952480857,-212.15668049266708,-184.93853468154305,13249.280442583615,16979.602023787636,16903.334683401747,-1178.3127568431162,12006.391732869035,16699.272088943526,-1.2726162026677315,8975.202736344303,477.3586523221107,-138.96488964153303,-189.412209567243,20596.553004919,25657.695937477252,25508.990968573515,-1339.0249585944073,18142.730787012577,26128.51818170699,-1.5327572787748678
ppg0_SDSD,1855.4914939228977,-3758.179500947793,54.38923064804371,68.04333319848168,4103.978752580872,5408.315657128237,5348.784340828527,33.49219866295227,3824.2566759527544,5116.328200652128,-0.36835804162396063,2886.6930006963144,-4333.519560425906,131.06735644629546,140.71879379894165,9794.657133268725,12763.570638953433,13908.621244833843,-23.684716311250583,9149.457009490887,11065.697033975832,0.3591680969999606,10881.037468633825,121.80185699990247,-242.30249538813354,-277.61706012067623,23402.179427010185,31895.575798572645,31749.304909578655,-1958.6156462742817,22553.57793702024,28988.71428073617,0.0044455299538634285,9059.718635439256,903.974699312658,-283.3504454124549,-264.9992554950472,17111.95314485394,22205.093308850282,22103.14297700234,-1635.0872632773926,15701.37205556812,21493.681696437663,-1.2424713666198755,12066.267724083034,884.086732661382,-150.71596069895148,-268.66502503892343,26553.449542135328,33300.429639623966,33099.65346738464,-1828.2695597235654,23546.95961460354,33623.70002588546,-1.5886610140195412
ppg0_RMSSD,1741.8986521013233,-3842.7170181258325,55.26482643596902,67.81305631851347,4056.5052871624735,5338.899622653958,5283.100744385431,41.94221748043514,3775.172127252879,5059.311933833901,-0.370322436560408,2684.5343635391823,-4477.808540304291,131.92289891032382,139.64240828400662,9619.940081079383,12635.641665371524,13663.846622365345,-15.338438822947097,9046.1879116459,10945.203729307805,0.3553016472131378,10809.111960663584,102.36330907995601,-241.3024334490196,-275.36308598709337,23296.464626400935,31749.304909578655,31605.981812076352,-1936.3651858040364,22450.148799522387,28858.481366413023,-0.0009531201343298772,9010.072997647718,884.0775844043841,-281.8170621911133,-263.33740785204225,17045.504742113568,22118.106499335456,22017.69647630185,-1614.4925693512962,15639.86309268634,21410.52098099128,-1.240201836299388,12000.748431369437,863.7559819604456,-149.77306233280086,-266.98263090656565,26437.172968538733,33154.66356586474,32956.18759502938,-1806.8470661437048,23443.88743538148,33476.640917078315,-1.587472802582073
ppg0_NN_Count,-2184.369133389333,-1162.4348378004606,47.06553586730022,26.450330699514303,-1638.541857365799,-2459.874749244207,-2405.0867354881016,2248.7100239388988,-1739.3941160601332,-1959.9604001390246,-0.1004978400296723,-4792.322327560425,-2739.9201637651117,33.25626652738816,10.632042956952294,-3995.1895436050954,-5334.88406417196,-5694.433003163333,2079.9150128093115,-3832.6276375610446,-4373.635433382347,-0.10231747104344947,-1230.833107513804,-159.57422146608633,37.31904674329185,50.787413121625754,-1436.0855555958747,-1958.6156462742817,-1936.3651858040364,3560.75715860601,-1384.9504052186082,-1777.8700283480994,0.015897803590549403,-1001.7230703181791,-319.67197479202594,40.35338680572312,43.09640477800136,-1014.5987750101269,-1356.5936897126173,-1340.4178577879782,3515.288889109212,-959.2565973106704,-1263.3203853145512,0.036582645426953865,-1122.0229950363725,-309.9924329390756,42.376309902911714,44.097441693617554,-1324.9408821124125,-1686.847986084098,-1667.6391352023481,3505.002662357349,-1192.7816497909432,-1671.2497329073046,0.08165014608728008
ppg0_SD1,1312.0306177868827,-2657.434210036423,38.458993814747814,48.11390231917883,2901.9512057954707,3824.2566759527967,3782.161678504296,23.68256079141601,2704.157828564133,3617.7903654570964,-0.2604684691368944,2041.2001959961583,-3064.2610675816613,92.67861653536656,99.50321333562013,6925.86847833152,9025.20735095751,9834.880399177304,-16.747623514167643,6469.643095585942,7824.629411280363,0.2539701969745408,7694.0553804158535,86.12691904574557,-171.3337375873705,-196.30490578440305,16547.839767383055,22553.57793702024,22450.148799522387,-1384.9504052186082,15947.787899286292,20498.116445787877,0.003143464376352907,6406.188482761237,639.2066399050572,-200.35902140337666,-187.38277056993508,12099.97810807267,15701.37205556808,15629.282284574174,-1156.181291695195,11102.546654425125,15198.328080216266,-0.878559928767024,8532.139731311425,625.1437238219304,-106.57227784327401,-189.97486107267702,18776.12423513852,23546.95961460352,23404.98942171257,-1292.7818035174828,16650.214819811947,23775.5462968858,-1.123352976019904
ppg0_SD2,-1135.1537948397317,-5680.242413999618,106.61024720984304,152.9144485909623,2894.0788902703284,3638.6854431705947,3604.703976414211,201.63426047910966,2572.9391514706876,3657.0715488679475,-0.3425014133632929,285.1397068283547,-5238.271265830786,172.71471649640833,222.64049907984423,8256.054756722737,10196.877257211052,11334.797694057434,150.9780452645684,7331.791879449092,9298.843378771433,0.061909702596545886,10137.1454123704,45.81787312539547,-316.9639338137084,-250.61217693699524,22205.30481823885,28988.71428073617,28858.481366413023,-1777.8700283480994,20498.116445787877,27850.369034434218,-1.8038509641280747,8277.457805315362,566.21431031701,-264.4504308881473,-225.6361583592065,16668.917273973497,21287.68641465388,21192.80417425881,-1451.146042712173,15052.667419574524,21029.416213542867,-1.7115661787475591,11160.550491576234,526.3450513197355,-182.39326980624222,-231.78289407996087,25917.267222615486,32225.996593979973,32041.452332853558,-1656.9335386289708,22787.22072209783,32894.985762632336,-2.0359860219508747
